F.endolithicus	F.simplex	H.werneckii
0.182785	0.127057	2.237441
0.907518	0.601163	1.487478
0.059391	0.601163	0.643381
1.108088	0	0.226545
1.637504	0.259138	0.308575
0.279989	0.700837	2.65225
0.688041	0.46269	0.728874
0.246806	0.114182	0.305745
0.594794	1.97149	0.134376
1.031859	0.094125	0.358728
0.822927	1.96669	0.283224
0.648691	0.05964	0.251744
1.019968	2.947756	0.7297
0.208377	3.243294	0.322934
0	0.596518	0
0.383419	0.794993	0.261455
0.592497	0.239004	0.69408
0.190846	2.943276	0.137588
0.256617	2.967329	0.333627
0.198335	1.213116	1.039882
0.392037	0	0.118273
0.140191	0	0.236507
0.610919	0	0.150925
0.369403	0.263374	0.222284
0.184106	0	0.283261
0.209139	0.263374	0.193354
0.304856	0.142679	0.124203
0	1.662394	0
0	2.67195	0
0.184098	1.719013	0.32571
0.430542	3.13541	0.43626
0.196105	0.594905	1.33922
0	0	0
0.415804	1.594135	0.171562
2.892811	1.594135	0.953182
1.947258	1.523232	0.352785
0.155652	1.523232	0
0.747736	0	0.390937
0	0	0.659988
3.575555	0	0.329302
3.944	0	0
0.600201	0.078355	2.122431
0.305973	1.487208	2.128377
0.361517	2.224369	0.846396
0.214775	0.26999	0.391462
2.031735	0	0.388271
0.349828	0.268411	0.371193
0.238123	3.061778	1.088608
0.415072	0.560376	0.433404
0.180227	0.883228	0.236792
2.781856	3.165804	0.367078
2.190875	2.029547	0.677322
0.746786	0.028585	1.640524
0	0	0.744726
0.306351	2.389885	1.821184
2.389492	2.317414	1.821184
0.302839	1.931437	0
3.312074	2.26918	0
0.100364	0.206374	0.351782
0.45577	0.252538	0.089671
0.299908	0.25176	2.865446
0	0	2.647678
0.326917	0.128296	0.19871
0.222458	1.498557	0.236052
0.21375	2.809053	0.331416
0.17841	0.120163	4.117952
0.298698	0	4.113912
0.131447	0.118797	0.509709
0.272307	0.140869	0.720959
0.190693	0	0.621506
0.315061	0.140869	0.363143
0.738424	=-nan	2.458131
0.275349	=-nan	1.716433
0.207518	=-nan	0.616081
0.739894	0.322843	1.716433
0.234492	0.322843	1.207519
0.37065	0	0
0.225639	0.064837	1.207519
0.300962	1.274224	0.580674
0.452871	1.406418	1.699287
0.490152	1.543904	1.355891
0.324939	3.102454	2.324575
0.463081	3.121299	0.42133
0.31065	1.527883	0.416106
0.309525	2.062776	0.264714
0.21551	0.291225	0.250827
0.519639	1.775275	0.336418
0.459286	1.775275	0.43711
0.27929	0	2.343973
0.233615	0	99
0	2.907532	0.112068
0.061082	2.907532	0.29366
1.562822	0	0.152052
0.372171	1.427368	0.294908
0.145573	1.353225	0.059412
2.612036	0.209887	0.151932
0.213226	0.154145	0.423609
0	0.747086	0
0.140021	0.357125	0.514526
0	0.152699	1.245975
0.391927	0.159412	0.133195
0.771652	0.260496	0.692455
0.30877	1.293917	0.568551
0.142273	0.455233	0
0.082812	0.54953	0.299402
2.125586	0.100329	0.784466
1.597964	0.523202	0.171241
0.336907	0.523202	0.17416
0.269531	0	0.120082
0.203986	2.559994	0
1.227669	0.140925	0
0.218207	3.799782	0.325875
0.526152	3.799478	0.167055
0.228419	0.598594	0.36083
0.253308	2.863957	0.452113
1.457344	2.88727	0.413857
0	0.151033	0.297343
0.218909	0.151277	0.453527
0	0	0.464014
0.372598	0.140795	0.719819
0.791948	2.680092	0.409336
0	2.672287	0.54024
0	0.265301	0.331381
0.022078	1.256409	0.139408
0.620504	1.161596	0
0.128057	0.892282	1.007608
4.382386	0.205237	0.8397
2.051806	3.517854	0.566023
0.311489	2.488653	0.242022
0.733818	0.118376	0
0.044345	1.287242	0.062254
0.202544	0.811372	0.347563
0.212336	0.160058	0.135327
0.313248	0.32788	0.209241
1.981937	2.890302	0.438661
0.322421	2.569883	99
1.975491	0.213233	1.793136
0.357231	0.912523	0.430156
0	0.912523	0.302497
0	0	3.032497
0.088754	4.62398	1.921726
0	4.62509	0.460835
0.531343	0.275543	1.230877
0.495977	1.394775	1.922416
0.252841	1.064189	0.439568
0.203958	0.247468	0.388802
0.640047	0.096696	2.523721
0.121082	1.02092	0
0.409851	1.02092	0.880112
1.87567	0	0.322621
1.759221	0.772172	0.679063
0.470453	0.732974	0
0.951554	0.039746	0.313897
0.809762	0.199913	0.340155
0.274636	0.999578	0.174611
0.144517	0.999578	0.37918
0.092331	0	0.754018
0.148313	2.06399	1.766472
0.530814	0.022572	0.779409
0.529713	2.530852	0.480013
0.206828	0.102294	0.574229
0.46813	2.207255	0.184301
1.985944	2.179721	0.283094
3.564267	0.46619	0.413318
0.317246	0.46619	0.217489
0	0	0.203947
0.168068	2.4416	0.302884
0.038536	2.439646	0.9696
0.108084	0	1.120639
0.775981	0.126229	0.81114
0.157316	0.837839	0.472841
0.436858	0.916712	0.739297
0	0.112137	0.1285
0.440192	0.082986	0.171793
0.777134	0.781535	0.723533
0.626745	0.85432	0.11842
0.611908	0.182289	1.125871
0.279141	0.83101	1.138352
0.160666	0.940069	1.375068
0	0.111987	0.195412
0.225542	0.9331	0.264219
0.154607	0.842802	99
0.192916	1.387863	0.170229
0.644735	1.555063	0.251897
0.262155	0.311131	0.463658
0.150265	0.192704	0.205713
0.382761	3.288049	0
0.418235	3.118415	0.316515
0	0.344684	1.71105
0.297507	2.893952	1.699875
0.173847	0.206285	0.29498
0.354495	2.892862	0.797137
0.05598	99	0.367952
1.211157	1.892114	1.483723
1.308402	1.692873	2.085866
0.205171	0.728869	1.034235
0.259795	99	2.440071
=-nan?	1.715293	0.493347
0.266887	99	0.188204
0.879113	99	1.063019
0.494785	0.565318	0.927996
0.140122	99	0
0.162314	1.863873	1.932786
0.242159	1.720538	2.778554
0.291527	1.655823	0.298943
0.372543	99	0.274825
0.879152	99	0.352007
1.452305	0.104038	0
0.150597	2.114318	1.570949
1.095054	1.988425	0.983617
0.233232	1.517784	2.427967
0.392479	2.225435	1.401879
0.308327	0.15656	1.267333
0.278201	0.947313	0.429501
0.193349	0.929811	1.806707
0.413141	0	2.63606
0.267698	4.555101	0.431196
0.166232	2.310924	0.387257
0.243343	0.163061	0.322039
0.127666	0.248575	=-nan?
0.193596	2.086537	=-nan?
0.176262	5.353105	=-nan?
0.485032	0.284464	0.301045
0.388177	0.284464	0.227572
0.350446	0	0.613663
0.952625	0.239334	0.314525
0.269243	0	0.403378
0.387992	0.238846	2.892374
0.294192	2.72974	0.240309
0.161602	2.72974	0.149469
0.241495	0	0.704132
0.483464	0.194722	0.335423
0.199853	0	0.580103
0.226257	0	0.493294
0.330175	0	0.254608
0.428116	0.058149	1.696838
0.20629	1.157396	4.0469
0.423983	1.21532	0.287047
0.214298	1.060571	0
0.201736	1.710457	0.321111
0.219046	0.695954	0.778644
0.250812	1.754266	3.967961
0.267188	1.751038	3.967887
0.126208	1.751038	3.676235
0.291917	0	3.97634
0.372618	0	0.47274
0.165956	0	0.435149
0.376516	1.552095	0.397229
0.289479	1.519241	3.780099
0.318358	0.207154	3.829238
0.518883	0	3.782272
0.661971	1.077973	3.831274
0.207447	1.077973	2.469263
0.362029	2.966139	0.121348
0.221556	2.966139	2.806642
0.3659	0	2.84692
0.305077	0	2.78727
0.146892	0.370738	2.777163
0.295953	0.285327	2.836275
0.410689	0	2.875032
0.361059	0	2.817663
0.358677	0	2.80796
0.258932	1.454664	0.429753
0.312459	1.613931	2.752707
0.372457	0.097992	2.742119
0.266802	1.673174	2.95148
0.406583	3.096255	2.785912
0.338307	0.161253	0.401327
0.375267	1.798173	0.103062
0.29138	1.714656	0.423827
0.367054	0.053352	0.46876
0.258492	2.941067	0.386034
0.369878	0.300484	0.336848
0.282746	2.969782	0.295353
0.534989	1.683321	0.246544
0.290587	1.30282	0.289862
0.646286	1.36009	0.377858
0.427076	0.129673	0.512788
1.478195	1.372662	0.27826
0.180305	1.417185	0.240012
0.849538	0.032985	0.271052
0.470594	0.543045	0.332923
0.238123	0.096871	0.200836
0.408275	0.519843	0.400618
0.063094	0.13696	0.349257
0.062213	0	0.380693
0.366852	0.13696	0.427223
0.330157	1.096899	0.232462
0.523995	1.063157	0.651577
0.109996	0.197561	0.317686
0.340266	3.98601	0.500369
0.852697	3.364356	0.195514
0.497303	0.175596	0.373324
0.206922	2.243928	0.342542
0.335461	1.889402	0.464185
0.178828	0.176195	0.383696
0.287384	1.50453	0.412559
0.20641	0.689669	0.495993
0.258161	1.832978	0.289113
0.206813	0.170192	0.310361
0.114402	0.170192	0.359545
0.206562	0	0.340566
0.396611	0	0.378388
0.190567	0	0.348307
0.363345	0	0.265523
0.285593	99	0.448046
0.158508	1.035462	0.358795
0.316707	1.667229	0.329439
0.293973	3.181237	0.618939
0.332466	3.178942	0.586378
0.396011	0.170793	0.24365
0.191512	0	0.271255
0.201091	0	0.250547
0.242218	0	0.342144
0.600822	0.356113	0.306116
0.543116	0.356113	0.295823
0.4333	0	0.408266
0.360397	0.468903	0.394512
0.386375	0.468903	0.350379
0.323234	0	0.798159
0.467682	0.241944	0.366849
0.394105	0.242148	0.537276
0.320264	0	0.190382
0.266948	2.241644	0.325948
0.369862	0	0.565873
0.463211	2.241644	0.439086
0.257736	1.239077	0.697112
0.535013	1.238548	0.416523
0.234528	0.029797	0.44395
0.529416	0.521694	0.672639
0.675154	0.619887	0.315283
0.336251	1.829921	0.888343
0.439426	1.829542	0.465494
0.218272	0	0.669542
0.516364	0.249824	0.255974
0.379535	0.011189	0.223853
0.298721	0.482705	0.489198
0.163138	0.403452	0.223284
0.141747	0.02918	0.155648
0.207785	0.455544	0.344731
0.306006	1.824716	0.209418
0.271564	1.824716	0.277725
0.313054	0	0.32911
0.208485	2.254152	0.258569
0.252549	0.366869	0.300734
0.343985	99	0.35752
0.329677	2.426822	0.334381
0.291944	1.266453	0.345232
0.532262	0.805921	0.263241
0.324643	0.578942	0.348806
0.241738	2.699914	0.352158
0.406523	2.267989	0.339867
0.343205	0.945526	0.390183
0.185865	0.945526	0.206865
0.324374	0	0.242852
0.321945	0.374717	0.667968
0.145989	0.205349	0.307924
0.271272	0.220912	0.312843
0.297534	0.178398	0.464275
0.44904	0.178511	0.348769
0.543654	0	0.520213
0.687423	2.862296	0.323369
0.472902	0	0.387099
0.182615	2.864084	0.538136
0.280733	1.335925	0.268061
0.102584	1.291004	0.433249
2.323584	1.281617	0.374408
3.754743	99	0.305306
1.983449	99	0.272391
4.550742	0	1.01104
3.006391	0.231314	0.37545
0.381987	0	0.320704
0.260096	0	0.41144
0.230684	0	0.293076
0.172213	0.042775	2.526546
0.191918	0.116616	0.32948
0.180964	2.607261	0.693202
0.318486	1.524927	0.679455
0.261447	0.387984	0.515126
0.430645	0.273524	0.434718
0.260367	0	1.014283
0.188575	0.271301	0.460959
0.294874	1.884327	0.610092
0.289768	1.884327	0.537276
0.249747	0	0.459927
0.140514	1.913402	0.539819
0.296552	1.868222	0.446109
0.095395	0.075353	0.583695
0.604962	0.664045	0.719758
0.256256	0.943589	0.608605
0.256612	2.091111	0.454014
0.262413	2.393033	0.298377
0.245852	2.149732	0.344046
0.291308	1.490852	0.288598
0.300522	1.487012	0.309714
0.337948	1.94194	0.408116
0.232147	0.212766	0.244
0.401078	2.545662	0.381904
0.590111	0.19356	0.343898
0.436543	0	0.307877
0.86654	1.824878	0.333199
1.076757	1.824878	0.134163
0.264453	1.152856	0.396465
0.379839	1.338336	0.524012
0.301014	0	0.211215
0.332521	0.228754	0.332667
0.249688	2.423437	0.262699
0	2.445759	0.15145
0.240786	0.155188	0.340673
0.219704	1.207807	0.247531
0.197214	1.263547	0.252624
0.38138	0	0.339456
0.283874	0	0.496023
0.30699	0	0.406738
0.291959	1.858072	0.286922
0.540683	3.371786	0.582105
0.452381	0.326867	0.383903
0.303752	1.388721	0.329112
0.45527	0	0.435367
0.532589	1.822803	0.295913
0.376344	1.822803	0.573581
0.27526	0.069996	0.45745
0.258081	3.006173	0.592198
0.313243	3.005908	0.387442
0.446867	0.085833	0.358341
0.385644	0.085833	0.351616
0.162509	0	0.399928
0.207285	0.071715	0.33457
0.311076	0.068583	0.503777
0.237994	0.719453	0.197783
0.306429	1.038622	0.304818
0.664268	0	0.181863
0.206129	0	0.323719
1.21245	0	0.250084
0.312446	0.154449	1.000886
0.224514	2.413547	0.438095
0.112859	1.690353	0.467163
0.632997	0.20755	0.56478
0.253871	0.308585	0.507876
0.29778	0	0.480783
0.376482	0.308115	0.352982
1.288556	0.456522	0.30752
0	0.15365	0.299542
1.288556	3.880547	0.267475
0.089988	3.874402	0.372012
0.228322	3.884962	0.362778
0.658272	3.878853	1.249272
0.268353	0.193335	0.614376
0.149791	2.723311	0.336971
0.236582	0.098753	0.356584
0.458276	2.644927	0.664657
0.383946	0	0.301504
0.51257	0.057531	0.241387
0.360052	2.274621	0.255813
0.123529	1.721715	0.218718
0.285632	0.077301	0.335241
0.33522	2.888709	0.347418
0.470782	2.888709	0.534051
0.177987	0	0.496238
0.204291	1.945671	0.647868
0.419185	1.392886	0.328022
0.282055	0.079188	0.239254
0.47202	1.088007	0.20169
0.555727	2.765332	0.351672
0.387441	3.159724	0.311764
0.346425	3.417859	0.431762
0.280803	1.186931	0.425649
0.204731	1.747064	0.284028
0.389615	1.761621	0.347299
0.624714	2.471737	0.350993
2.980623	2.751457	0.23667
0.895837	2.750795	0.345758
0.53876	1.322504	0.365756
0.348218	0	0.232058
0.441625	3.248952	0.473895
0.226289	3.300589	0.328607
0.774207	0.342763	0.372971
0.295623	3.061588	1.026149
0.517898	0	0.515492
0.329935	0	0.453617
0.407423	0	0.09559
0.29757	=-nan	0.606771
1.94655	0.130954	0.269627
0.360949	3.137136	0.434158
0.405041	3.121022	0.494203
0.319587	2.494165	0.397677
0.174146	2.354405	0.386972
0.400461	0.153713	0
0.14424	0.108407	0.133916
0.331339	0	0.215135
0.411083	0.108455	0.494636
0.151577	0.063805	0.223297
0.208657	3.033522	0.184498
0.278262	3.037588	0.252955
0.265425	1.385896	0.290785
0.175878	2.453931	0.182033
0.382278	0.708582	0.156226
0.37896	0.08554	0.258259
0.290748	2.753127	0.41553
0.210499	2.750976	1.347995
0.566414	0.767391	0.228084
0.217464	3.008979	0.151565
0.093094	0.432281	0.170777
0.197621	3.382144	0.224251
0.286033	1.697423	0.441192
0.722277	0.291899	0.685831
0.370368	0	0.457774
0.257507	1.660996	0.994295
0.186158	0	0.250785
0.2328	1.660996	0.491203
0	0	0.426907
0	0	0.454127
0.271583	0	0.268253
0.29309	2.326467	0.370331
0.538901	2.330493	0.314844
0.247281	0.102675	0.354423
0.497841	0.521844	0.432333
0.421006	0.649515	0.428339
0.039783	1.00942	0.926098
0.847863	0.131506	0.404859
0.358088	1.252906	0.34466
0.251363	0.765816	0.399819
0.36667	0.93632	0.610517
0.295533	2.154799	0.382336
0.188738	0	1.763304
0.315023	2.071745	0.34435
0.190152	3.897633	0.949586
0.297303	3.892305	0.410854
0.345269	0.136013	0.381405
0.451735	0.975898	0.389239
0.068648	2.02279	0.22748
0.291637	1.336487	0.390144
0.332593	2.2798	0.465462
0.080916	0.417419	0.465439
0.237285	0.224386	0.342919
0.451446	1.633497	0.438854
0.243445	0.240522	0.321576
0.358692	1.139703	0.292142
0.458279	1.2443	0.470961
0.195492	0.589807	0.795599
0.523008	1.557679	0.436188
0.377539	99	0.422592
0.145404	1.666857	0.352163
0.277217	1.697809	0.345922
0.212218	1.488384	0.230451
0.462401	1.570767	0.418334
0.472881	1.361538	0.462443
0.305276	1.475607	0.552575
0.326286	1.515314	0.342234
0.393269	0.28359	0.180383
0.301269	0.068704	0.269309
0.327928	1.979989	0.36752
0.25096	0.768529	0.93851
0.299085	3.032615	0.585466
0.275245	3.032615	0.281623
0.312654	3.032615	0.27905
0.370938	1.978549	0.420548
0.335159	0.6032	0.219012
0.347768	3.124224	0.506785
0.148869	3.124224	0.494861
0.543759	3.124224	0.458873
0.418001	2.070833	0.473585
0.282941	2.179206	0.467207
0.349457	2.179206	0.308525
0.456812	2.179206	0.422889
0.31215	1.019399	0.140481
0.263274	1.019399	0.663087
0.214046	1.019399	0.266598
0.114174	0	0.302948
0.33955	0	0.12886
0.30179	0	0.196894
0.179016	1.362825	0.350967
0.269442	1.572926	0.347613
0.075813	1.540623	0.337717
0.269663	1.497853	0.441239
0.194722	2.277986	0.425676
0.33825	1.699065	0.481776
0.42992	1.659796	0.423545
0.399299	0.026559	0.40733
0.271631	0	0.859324
0.590438	0.026228	0.349908
0.40679	0.129872	0.307073
0.314763	3.77275	0.316707
1.020542	3.780922	0.397861
0.246969	0.149722	0.426348
0.12762	0.134405	0.244821
0.480473	0.065734	0.633955
0.268193	0.185523	0.293304
0.188925	0.146752	0.302015
0.10939	0.117627	0.291108
0.254416	0.153902	0.336348
1.397523	0.231587	0.293367
0.465139	0.174942	0.496545
0.252263	0.173304	0.256753
0.408363	0.288689	0.263987
0.349546	0.121928	0.505871
0.224885	0.138926	0.311405
0.434819	0.147785	0.328641
0.436586	0.184801	3.004204
0.40224	0.1592	2.994583
0.228501	0.108641	0.122402
0.242609	0.284707	0.570582
0.284766	0.085787	0.346312
0.234149	0.156853	1.441084
0.404581	0.070885	0.293986
0.250133	0.233982	0.509228
0.296085	0.222543	0.374652
0.189272	0.192915	0.351174
0.108702	0.165351	0.406976
0.073036	0.208654	0.465396
0.366169	0.242652	0.438728
0.302946	0.277245	0.310445
0.237023	0.195047	0.179942
0.918131	0.134629	0.348226
0.518156	0.185445	0.424819
0.314785	0.174081	0.371348
0.994498	0.123862	0.354202
0.134386	0.107146	0.201116
0.264083	0.108653	0.294527
0.16483	0.108746	0.567945
0.218337	0.077765	0.571392
0.21102	0.109836	0.575514
0.389887	0.072182	0.439708
0.233285	0.013986	0.236513
0.232153	0.444223	0.507339
0.150557	0.078984	0.579251
0.377201	0.08838	0.422721
0.534393	0.233537	0.20699
0.352553	0.150985	0.61419
0.419342	0.092683	0.241274
0.199122	0.213428	0.301155
0.261933	0.141745	0.764698
0.350987	0.179538	0.794576
0.370047	0.145788	0.33763
0.283109	0.216763	1.769612
0.294627	0.073032	2.088586
0.305365	0.13296	0.432758
0.193483	0.300648	0.500769
0.510322	0.085583	0.95334
0.468792	0.121542	0.342595
0.274548	0.112693	0.369716
0.30671	0.144954	0.329983
0.332196	0.120636	0.294113
0.288142	0.157622	0.467163
0.112424	2.728922	0.343861
0.80905	1.826995	0.377456
0.187998	0.210178	0.322507
0.274121	0.100407	0.413393
0	0.259421	0.341321
0.216905	0.295063	0.248367
0.600633	0.069687	0.026239
0.428413	0.237511	0
0.163493	0.353593	0.497743
0.231771	0.161693	0.499293
0.128913	0.222296	0.314993
0.179304	0.112251	0.436775
0.057058	0.055911	0.585904
0.246748	0.175263	0.27657
0.28912	0.152175	0.575586
0.144129	0.026763	0.435997
0.446397	0.032317	0.784319
0.209714	0.171852	0.218341
0.471013	0.132704	0.189357
0.490393	0.249582	0.323538
0.286788	0.071123	0.515939
0.249371	0.114412	0.249536
0.304887	0.148241	0.19938
0.320483	0.079744	0.243063
0.15014	0.09789	0.345532
0.294371	0.15666	0.379877
0.112249	0.167645	0.482914
0.66783	0.098599	0.750414
1.807266	0.141142	0.195396
0.525973	0.247518	0.228683
0.195081	0.020892	0.426042
0.277729	0.071922	0.351784
0.23698	0.171421	0.320897
0.237478	0.173401	0.337563
0.390545	0.086857	0.516678
0.318224	0.028938	0.40322
0.366911	0.052234	0.367489
0.282784	0.251282	0.69503
0.193197	0.1936	0.459378
0.25728	0.155165	0.52874
0.242803	0.186162	0.425518
0.171858	0.279946	0.488838
0.465097	0.137563	1.753406
0.267301	0.126792	3.86531
0.194694	0.130107	0.240141
0.269129	0.107617	0.735056
0.524873	0.114387	0.189929
0.60722	0.313678	0.254046
0.716772	0.156596	0.2433
0.25736	0.184026	0.367853
0.374439	0.196122	0.361975
0.260304	0.154849	0.31804
0.084779	0.364424	0.562046
0.163853	0.21649	0.893511
0.41721	0.243047	0.440187
0.446625	0.20742	0.209992
0.590278	0.392066	0.60611
0.142501	0.549521	0.328223
0.606734	0.116671	0.339249
0.724693	0.169329	0.70102
0.359982	0.234925	0.258819
0.2401	0.164358	0.729733
0.24073	0.266686	0.543568
0.472909	0.116292	0.117657
0.312411	0.275955	0.390671
0.180288	0.049404	0.700364
0.114803	0.092553	1.580273
0.092542	0.229536	1.77455
0.3798	0.152906	0.327395
0.191197	0.327647	0.16858
0.192324	0.125756	0.441518
0.267537	0.120418	0.430287
0.25013	0.142101	0.417401
0.334343	0.124523	0.296838
0.308157	0.11065	0.38231
0.408253	0.457982	0.298725
0.346323	0.115056	0.419693
0.089709	0.076106	0.31537
0.318942	0.164391	0.433697
0.361644	0.188671	0.450875
0.384265	0.249496	0.423248
0.219923	0.198463	0.531737
0.286277	0.220623	0.872944
0.344383	0.14902	0.374395
0.37449	0.20633	0.334663
0.129978	0.09127	0.442625
0.396852	0.10876	0.281324
0.436612	0.153783	0.837032
0.309929	0.37787	0.628329
0.305213	0.112641	0.273698
0.227426	0.063607	0.456352
0.350889	0.198636	0.242801
0.316576	0.093676	0.371558
0.248089	0.184128	0.339833
0.589709	0.185714	0.319499
0.490325	2.823598	1.782485
0.478156	2.785073	1.382905
0.341564	0.136843	0.297199
0.39045	0.074655	0.578719
0.292999	0.025256	0.400792
0.652633	0.055723	0.5147
0.440917	0.228628	0.236746
0.286882	0.184452	0.293859
0.529339	0.152983	0.51511
0.582111	0.085884	0.495738
0.130824	0.105349	0.336821
0.335925	0.210339	0.403017
0.432571	0.037081	0.326426
0.517304	0.179753	0.307661
0.504916	0.150504	0.351874
0.548774	0.112134	0.413942
0.085435	0.097056	0.171901
0.286314	0.213053	0.22654
0.227782	0.063684	0.406453
0.287377	0.146189	0.338647
0.208738	0.07364	0.411936
0.147102	0.163806	0.370779
0.131312	0.067688	0.289736
0.387127	0.177276	0.416248
0.310548	0.153705	0.485405
0.376029	0.285453	0.350797
0.294793	0.12742	0.296473
0.182501	0.216047	0.345157
0.370055	0.186787	0.257302
0.479336	0.985352	0.319715
0.306833	0.314	0.202301
0.207759	0.170577	0.217062
0.229998	0.154652	0.404495
0.417466	0.264768	0.334411
0.225208	0.206109	2.601256
0.467478	0.050908	2.369446
0.273524	0.083811	2.286687
0.278817	0.044831	0.269331
0.46647	0.128098	0.216475
0.976994	0.174024	0.475392
0.328422	0.432995	0.434251
0.344989	0.218373	0.41944
0.348013	0.05918	0.547232
0.194135	0.178679	0.426702
0.384094	0.274663	0.25528
0.288512	0.096778	0.213272
0.61275	0.148564	0.18983
0.357527	0.279376	0.571328
0.34872	0.360396	0.33589
0.25428	0.1645	0.403827
1.168089	0.140151	0.495487
0.148152	0.280097	0.279826
0.391748	0.11535	0.244655
0.227548	0.156003	0.164598
0.214969	0.2136	0.634166
0.460637	0.092436	0.358954
0.326334	0.227596	0.247023
0.14696	0.18473	0.349275
0.812599	0.104101	0.40858
0.769086	0.220623	0.592381
0.294547	0.129553	0.189513
0.466635	0.126453	0.397756
0.455774	0.163063	0.368486
0.521517	0.032271	0.356405
0.828631	0.143982	0.295786
0.246754	0.066925	0.365882
0.169931	0.143418	0.284192
0.279251	0.141854	0.472946
0.246822	0.236652	0.424555
0.567371	0.122025	0.278607
0	1.234256	0.269637
0.326752	2.6783	0.259318
0.365142	0.308227	0.433869
0.610723	0.178159	0.621413
0.343283	0.08672	0.348032
0	0.16281	0.280319
0.113604	0.159049	0.332734
0.379687	0.1926	0.348548
0.152829	0.193357	0.157382
0.265275	0.042459	0.138179
0.386196	0.030786	0.363895
0.295841	0.224015	0.449724
0.565184	0.125875	0.546754
0.501339	0.082066	0.611175
0.200511	0.498269	0.296703
0.40608	0.068231	0.247106
0.309945	0.12788	0.324704
0.392079	0.138684	0.398516
0.246127	0.17085	0.285555
0.261898	0.105039	0.411778
0.308442	0.183343	0.454881
0.428545	0.140662	0.553045
0.244771	0.172648	0.268374
0.382956	0.03193	0.346237
0.422565	0.085495	0.588607
0.408677	0.217759	0.289985
